Qty,PN,Description,Reference
44,39-00-0209,"CONN, 26AWG, FEMALE, CRIMP TIN","0A1W6P1, 0A1W6P2"
717,M20-1160042,"CONN, 22-30AWG, FEMALE, CRIMP TIN","1A1W6P3, 1A2W1P3, 1A6W1P3, 1A7W1P3, 1A7W2P4, 1A8A1W1P1, 1A8W2P1, 1A8W3P1, 1A8W4P1, 1A8W5P1, 1A8W5P2, 1A8W7P1, 1A8W8P1, 1A8W9P1, 2A2A1W1P3, 2A2A1W1P4, 2A2A1W1P5, 2A2A1W1P6, 2A3A1W1P2, 2A4A1W1P3, 2A4A1W1P4, 2A4A1W2P4, 2A5A1W1P4, 2A5A1W2P3, 2A5A1W2P4, 2A5A1W2P5, 2A5A1W2P6, 2A7A1A1SW1P1, 2A7A1A1SW2P1, 2A7A1A2RV1P1, 2A7A1A4SW1P1, 2A7A1W1P1, 2A7A1W1P2, 2A7A1W1P3, 2A7A1W1P4, 2A7A1W2P1, 2A7A1W2P2, 2A7A1W3P1, 2A7A1W3P2, 2A7A1W3P3, 2A7A1W3P4, 2A15W2P1, 2A15W3P1, 2A15W3P2, 3A2A1W1P3, 3A2A1W2P4, 4A1W11P6, 4A2A1W1P3, 4A3A1W1P3, 4A3A1W2P4, 4A3A3W1P3, 4A3A3W2P4, 4A3A3W2P6, 4A4A2W1P3, 4A5A1A1W1P1, 4A5A2W1P4, 4A6A1W1P4, 4A7A1W1P4, 4A7A1W2P6, 4A7A1W3P3, 4A7A2W1P1, 5A2A4W1P1, 5A2A4W2P1, 5A2A4W3P1, 5A2A4W4P1, 5A2A4W5P1, 5A2A4W6P1, 5A2A4W6P2, 5A2A4W6P3, 5A2A4W6P4, 5A2W1P1, 5A2W1P3, 5A2W1P4, 5A2W1P6, 5A5A1W1P3, 5A5A1W2P4, 5A6A1P3, 5A6A1P4, 5A7A1W1P3, 5A7A1W2P4, 5A8A1W1P3, 5A8A1W2P4, 5A9A1W1P3, 5A9A1W2P4, 5A10W1P3, 5A10W1P4"
134,SPH-002T-P0.5L,"CONN, 24-28AWG, FEMALE, CRIMP TIN","1A1W6P4, 1A1W6P5, 2A14W6P2, 2A14W6P3, 3A3A1W1P1, 3A3A1W1P2, 3A3A1W2P1, 3A3A1W2P2, 3A3A1W3P1, 4A2A1L1P1, 4A3A1L1P1, 4A3A1L2P1, 4A5A1L1P1, 4A5A2L1P1, 4A5A2L2P1, 4A9A1W1P1, 4A9A1W1P2, 4A9A1W2P1, 4A9A1W3P1, 4A9A1W4P1, 4A9A1W4P2, 4A9A1W5P1, 4A9A1W5P2, 4A9A1W6P1, 4A9A1W7P1, 5A5A1L1P1, 5A5A1Y1P1, 5A7A1L1P1, 5A10A2L1P1, 5A10W2P1, A4A9A1A1W1P1, A4A9A1A1W2P1, A4A9A1A1W3P1, A4A9A1A1W4P1, A4A9A1A1W5P1, A4A9A1A1W6P1"
73,50-29-1900,"CONN, 24-30AWG, FEMALE, CRIMP TIN","1A2W1P1, 1A2W1P2, 1A3A1W1P1, 1A3A1W1P3, 1A3A1W2P6, 1A3A1W3P5, 1A3A1W4P4, 1A3A1W5P8, 1A9A1W1P1, 1A9A1W1P3, 1A9A1W2P6, 1A9A1W3P5, 1A9A1W4P4, 1A9A1W5P8, 2A3A1W1P1, 2A3A1W2P1, 2A3A1W3P1, 2A3A1W4P1, 2A5A1W1P5"
125,SYM-001T-P0.6(N),"CONN, 22-28AWG, MALE, CRIMP TIN","2A2A1A3W1J1, 2A2A1A3W1J?, 2A5A1W3J1, 2A10W1P1, 2A13W3P1, 2A15W2P2, 3A2A1W3P1, 3A2A1W4P1, 3A2A1W5P1, 3A2A1W6P1, 4A2A1A2W1P1, 4A3A2W1P1, 4A4A1W1P1, 4A4A3W1P1, 4A5A2W2P1, 4A7A3W1P1, 4A7A4J1, 4A8A1W1P1, 4A8A2W1P1, 4A8A3W1P1, 4A10W1P1, 5A2A1W1J1, 5A2A2W1J1, 5A2A3W1J1, 5A5A2W1J1, 5A10A1W1J1, 5A10A2W1J1, 10A1A1W1P1, 10A1A1W2P1"
134,SHF-001T-0.8BS,"CONN, 22-28AWG, FEMALE, CRIMP TIN","2A2A1W1P7, 2A4A1W2P5, 2A5A1W1P6, 2A12A1W5J2, 2A12A1W5J3, 2A12A1W5J4, 2A13W3J1, 3A2A1W1J1, 3A2A1W1J2, 3A2A1W1J3, 3A2A1W2J1, 3A2A1W2J2, 4A2A1W1J1, 4A3A3W1J1, 4A3A3W2J1, 4A4A2W1J1, 4A4A2W1J2, 4A5A2W1J1, 4A5A2W1J2, 4A7A1W3J1, 4A7A2W1J1, 4A7A2W1J2, 4A13A1W5J2, 4A13A1W5J3, 4A13A1W5J4, 5A2W1P7, 5A2W1P8, 5A2W1P9, 5A10W1P5, 5A10W1P6, 5A10W1P7"
2,39-00-0083,"CONN, 16AWG, MALE, CRIMP TIN",2A8A1W1P1
66,39-00-0048,"CONN, 26AWG, MALE, CRIMP TIN","2A12A1W5J1, 2A12A2W4J1, 5A11A1W5J1"
8,39-00-0122,"CONN, 16AWG, MALE, CRIMP TIN","2A12A4W1P1, 2A12A4W1P2, 2A12A4W2P1, 2A12A4W2P2"
8,39-00-0081,"CONN, 16AWG, MALE, CRIMP TIN",2A12A5W3J1
12,39-00-0211,"CONN, 16AWG, FEMALE, CRIMP TIN","2A12A5W3P1, 2A14W6P6, 2A14W6P7"
